***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  CEPEL: NEWAVE     - Versao FPHA_NEWAVE                             *
*                                                                     *
***********************************************************************


____________________________________________________________________
                                   
____________________________________________________________________


---------------------------------------------------------------------------------
Relatorio de dados para a modelagem da funcao de producao das usinas hidroeletricas
---------------------------------------------------------------------------------
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
USIH;IPER;    Nome     ;      Opcoes    ;;;;     Discretiz. Q    ;;;    Discretiz. V     ;;;    Janela GH   ;;
  - ;    ;     -       ;Tipo;Conv;Alfa;Rems; Npt ;   Qmin ;  Qmax  ; Npt ;  Vmin  ;  Vmax  ;  GHmin ; GHmax  ;
  - ;    ;             ;    ;    ;    ;    ;     ; (m3/s) ; (m3/s) ;     ; (hm3)  ; (hm3)  ;  (MW)  ;  (MW)  ;
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
   4;   1; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;   2; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;   3; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;   4; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;   5; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;   6; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;   7; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;   8; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;   9; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;  10; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;  11; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;  12; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
   4;  13; FUNIL-GRANDE;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   507.2;    1;   265.9;   265.9;     0.0;   180.0;
  20;   1; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;   2; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;   3; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;   4; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;   5; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;   6; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;   7; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;   8; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;   9; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;  10; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;  11; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;  12; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  20;  13; BATALHA     ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   151.2;    5;   430.0;  1514.5;     0.0;    52.5;
  21;   1; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;   2; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;   3; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;   4; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;   5; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;   6; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;   7; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;   8; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;   9; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;  10; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;  11; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;  12; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;  13; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  27;   1; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
