 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 & Cadastro das familias de curvas de jusante
 &
 & Usina: codigo da usina hidraulica
 & IndCurva: indice da familia (sequencial)
 & HjusRef: nivel de montante da usina de jusante para referencia da familia
 & nPol: quantidade de polinomios da familia
 &
 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 &;Usina;Indice;HjusRef
 &;Usina;Indice;nPol
 HIDRELETRICA-CURVAJUSANTE                   ;0001;001;  885.3052
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0001;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0001;002;  885.4000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0001;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0001;003;  885.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0001;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0001;004;  885.8000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0001;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0001;005;  886.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0001;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0002;001;  855.7895
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0002;001;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0004;001;  765.7641
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0004;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0004;002;  767.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0004;002;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0004;003;  767.3000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0004;003;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0004;004;  767.6000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0004;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0004;005;  768.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0004;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0006;001;  669.2448
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0006;001;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0007;001;  617.8585
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0007;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0007;002;  619.3000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0007;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0007;003;  620.9000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0007;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0007;004;  621.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0007;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0007;005;  622.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0007;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0008;001;  556.2537
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0008;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0008;002;  557.1000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0008;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0008;003;  557.4000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0008;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0008;004;  558.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0008;004;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0008;005;  558.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0008;005;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0009;001;  511.8859
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0009;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0009;002;  512.1000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0009;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0010;001;  493.5565
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0010;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0010;002;  494.1000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0010;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0010;003;  494.6000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0010;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0010;004;  494.8000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0010;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0010;005;  494.8700
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0010;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0011;001;  466.4311
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0011;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0011;002;  466.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0011;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0011;003;  466.8000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0011;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0011;004;  467.1000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0011;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0011;005;  467.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0011;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0012;001;  442.5954
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0012;001;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0012;002;  444.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0012;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0012;003;  444.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0012;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0012;004;  445.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0012;004;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0012;005;  446.3000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0012;005;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0014;001;  748.9427
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0014;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0015;001;  574.0539
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0015;001;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0016;001;  545.5521
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0016;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0017;001;  379.3358
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0017;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0017;002;  381.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0017;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0017;003;  382.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0017;003;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0017;004;  383.3000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0017;004;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0018;001;  320.6812
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0018;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0018;002;  325.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0018;002;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0018;003;  326.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0018;003;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0018;004;  327.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0018;004;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0018;005;  328.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0018;005;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0020;001;  754.5701
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0020;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0020;002;  756.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0020;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0021;001;  674.0264
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0021;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0024;001;  519.4079
