NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
   1 ANGRA 1        640. 100.    2.19  10.38   0.00   0.00   0.00   0.00   0.00  54.84 628.20 509.82 509.82 509.82 509.82 509.82 509.82
  13 ANGRA 2       1350. 100.    2.51  15.66   0.00   0.00   0.00   0.00   0.00 1350.0 1350.0 1080.0 1080.0 1080.0 1080.0 1080.0 1048.4
 211 BAIXADA FLU    530. 100.    4.14   3.68   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 256 CIDADE LIVRO     0. 100.    2.50   5.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  97 CUBATAO        250. 100.    9.04   5.21   0.00   0.00   0.00   0.00   0.00  22.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  12 CUIABA G CC    529.  90.   12.80  53.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 153 DAIA            44. 100.    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  65 DO ATLAN_CSA   148.  93.    2.46   7.63   0.00   0.00   0.00   0.00   0.00 120.75 125.75 144.39 144.39 144.39 144.39 125.76 133.27
 183 DO_ATLANTICO   235.  93.    2.46   7.63   0.00   0.00   0.00   0.00   0.00 218.68 218.68 197.07 197.07 197.07 197.07 197.07   0.00
 137 GNA I         1338. 100.    6.17   4.76   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 238 GNA II           0. 100.    2.50   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 1598.2 1598.2 1598.2 1278.6   0.00 639.27
  63 IBIRITE        235. 100.    2.03   3.91   0.00   0.00   0.00   0.00   0.00  17.90   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  54 JUIZ DE FORA    87. 100.    5.54   3.44   0.00   0.00   0.00   0.00   0.00   0.26   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 245 KARKEY 013     259. 100.    1.14   2.95   0.00   0.00   0.00   0.00   0.00  31.00  31.00  29.00  29.00  29.00  29.00  29.00  29.00
 246 KARKEY 019     116. 100.    1.14   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  15 LINHARES       204. 100.    2.23   2.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 257 LINHARES LRC     0. 100.    2.19   1.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 247 LINHARES PCS    36. 100.    1.56   1.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 236 MARLIM AZUL    566. 100.    5.40   4.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 420.84 420.84 210.42
 110 N.PIRATINING   386.  97.    3.34  11.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  60 NORTEFLU       827. 100.    2.24   2.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 229 ONCA PINTADA    50.  95.    1.60   2.79   0.00   0.00   0.00   0.00   0.00  28.31   1.69   0.00   0.00   0.00   0.00   0.00   6.86
 182 PALMEIRAS GO   176.  80.   71.26   7.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 248 PAULINIA VER    16. 100.    5.34   0.53   0.00   0.00   0.00   0.00   0.00  15.70  15.70  15.09  15.09  15.09  15.09  15.09   0.00
  50 PIRAT.12 G     200. 100.    6.57  12.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 249 PORSUD I       116. 100.    1.28   2.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 250 PORSUD II       78. 100.    0.89   3.58   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 251 POVOACAO 1      75. 100.    1.43   0.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  62 SEROPEDICA     360. 100.    6.64   3.24   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   4 ST.CRUZ 34     436.  92.   24.25  18.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  86 ST.CRUZ NOVA   500. 100.    3.94   4.47   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 146 STA VITORIA     41.  93.    4.13  10.72   0.00   0.00   0.00   0.00   0.00  18.00  18.00  16.00  16.00  16.00  16.00  16.00  15.33
 194 T. NORTE 2     349.  94.    0.24   1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  90 TERMOMACAE     923. 100.    6.78   4.09   0.00   0.00   0.00   0.00   0.00  25.72   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  47 TERMORIO       989. 100.   12.33   3.08   0.00   0.00   0.00   0.00   0.00  54.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  68 TRES LAGOAS    350. 100.    9.47   3.15   0.00   0.00   0.00   0.00   0.00   8.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  49 VIANA          175. 100.    1.00   0.73   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 253 VIANA 1         37. 100.    1.54   0.90   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 334 W. ARJONA      177. 100.   11.31  46.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 120.75
 108 XAVANTES        54. 100.    0.31   0.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  48 ARAUCARIA      484. 100.    3.92  43.57   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 254 B. BONITA I     10. 100.   18.94   2.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 237 CAMBARA          0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 156 CANDIOTA 3     350. 100.   24.31  13.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  64 CANOAS         249. 100.    6.64  11.65   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  28 FIGUEIRA        20. 100.   11.84  12.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  26 J.LACERDA A1    80. 100.    8.46  13.75   0.00   0.00   0.00   0.00   0.00   8.00   0.00  73.22  73.22  73.22  73.22  73.22  35.81
  27 J.LACERDA A2   110. 100.    7.91  10.00   0.00   0.00   0.00   0.00   0.00  11.00   0.00 101.29 101.29 101.29 101.29 101.29  53.18
  25 J.LACERDA B    220. 100.    7.48   8.29   0.00   0.00   0.00   0.00   0.00  22.00   0.00 203.53 203.53 203.53 203.53 203.53 108.89
  24 J.LACERDA C    330. 100.    6.75  14.20   0.00   0.00   0.00   0.00   0.00  60.00   0.00 307.72 307.72 307.72 307.72 307.72 181.72
 107 PAMPA SUL      345. 100.   22.46   9.28   0.00   0.00   0.00   0.00   0.00 291.42 300.00 267.50 267.50 267.50 267.50   0.00 141.56
 149 SAO SEPE         8.  90.   14.86   1.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 258 TROMBUDO         0. 100.    3.00   6.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  35 URUGUAIANA     640. 100.    0.12  72.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 235 CAMACARI MII   144. 100.    3.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  52 CAMPINA GDE    169. 100.   28.88   5.51   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 106 ERB CANDEIAS    17. 100.   46.72   9.71   0.00   0.00   0.00   0.00   0.00   3.50   3.50   2.65   3.50   3.50   3.50   3.50   3.13
  53 GLOBAL I       136. 100.    7.97   3.76   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  55 GLOBAL II      136. 100.    9.27   4.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  57 MARACANAU I    147. 100.   16.44  10.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 167 P. PECEM I     720. 100.    2.28   3.06   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 163 P. PECEM II    365. 100.    0.76   1.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 224 P. SERGIPE I  1593. 100.   13.91   1.45   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 162 PECEM II       144. 100.    2.90   0.97   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  98 PERNAMBU_III   201. 100.   27.42   7.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 144 PETROLINA      136. 100.    4.34   2.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 151 POTIGUAR        48. 100.    2.75   5.21   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 161 POTIGUAR III    51. 100.    3.68   5.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 223 PROSPERI III    56. 100.    2.90   3.14   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 241 PROSPERID II    37. 100.    5.89   2.89   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 147 PROSPERIDADE    28. 100.    6.68   2.64   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 170 SUAPE II       381. 100.    4.61   6.92   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  43 TERMOBAHIA     186.  86.    3.73  11.91   0.00   0.00   0.00   0.00   0.00  19.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 152 TERMOCABO       50. 100.    0.61   1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  58 TERMOCEARA     223. 100.   15.29   8.56   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  67 TERMONE        171.  95.    1.59   0.48   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  69 TERMOPB        171.  95.    2.36   0.25   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  96 TERMOPE        550. 100.    1.43   1.85   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  83 VALE DO ACU    110.  84.   12.38  11.65   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 201 APARECIDA      166. 100.   16.31  11.69   0.00   0.00   0.00   0.00   0.00  75.00  75.00 107.15 107.15 107.15 107.15 107.15 107.15
 260 AZULAO           0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 262 AZULAO II        0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 263 AZULAO IV        0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 322 BBF BALIZA       0.  94.    1.17   5.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  13.02
 323 BONFIM           0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   9.64
 203 C. ROCHA        85. 100.    1.00  20.72   0.00   0.00   0.00   0.00   0.00  28.00  28.00  52.59  52.59  52.59  52.59  52.59  52.59
 324 CANTA            0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   9.17
  73 GERAMAR I      166.  96.    0.29   0.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  70 GERAMAR II     166.  96.    0.42   0.31   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 326 JAGUATIRI II     0. 100.    2.50   1.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 114.13
 204 JARAQUI         75.  87.    4.00   0.00   0.00   0.00   0.00   0.00   0.00  29.00  29.00  60.47  60.47  60.47  60.47  60.47  60.47
 327 M.CRISTO SUC     0.  96.    2.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   6.59
