  PMO Teste       
     CUSTO MARGINAL DE DEMANDA - MEDIA PATAMARES           SUBMERCADO:SUDESTE                            

     ANO: 2024
                   1          2          3          4          5          6          7          8          9         10         11         12      MEDIA 
     1          0.00       0.00       0.00       0.00       0.00      21.52      50.85      72.81      50.33      90.90     111.61      96.73      70.68
     2          0.00       0.00       0.00       0.00       0.00      46.17      50.74      75.94      67.72      76.10      90.37      52.66      65.67
     3          0.00       0.00       0.00       0.00       0.00       0.00      40.48      46.53      59.49      74.39      72.26      65.56      51.25
     4          0.00       0.00       0.00       0.00       0.00       0.00      41.20      46.45      32.15      31.80      30.22       3.83      26.52
     5          0.00       0.00       0.00       0.00       0.00       0.00      22.98      40.50      30.32      30.34       5.36       0.00      18.50
     6          0.00       0.00       0.00       0.00       0.00      43.89      40.58      43.82      44.86      30.02      21.37      28.13      36.10
     7          0.00       0.00       0.00       0.00       0.00       0.00       0.00      30.52      27.13      66.62      86.55     149.08      51.42
     8          0.00       0.00       0.00       0.00       0.00      13.55      51.77      48.40      42.02      38.44      66.29      21.71      40.31
     9          0.00       0.00       0.00       0.00       0.00       0.00      45.55      82.97      79.01      63.81     153.09      91.01      73.63
    10          0.00       0.00       0.00       0.00       0.00      40.40      44.65      40.81      41.26      44.73      51.40      12.00      39.32
    11          0.00       0.00       0.00       0.00       0.00       0.00      41.09      48.71      35.54      43.87      64.13      15.20      35.50
    12          0.00       0.00       0.00       0.00       0.00       0.00       0.00      14.72      10.60      27.70       0.03       0.00       7.58
    13          0.00       0.00       0.00       0.00       0.00       0.00      27.41      42.13      58.13      31.68      53.95     100.82      44.87
    14          0.00       0.00       0.00       0.00       0.00       0.00      49.06      58.09      32.05      22.81      23.91       6.00      27.42
    15          0.00       0.00       0.00       0.00       0.00      26.32      30.63      33.74      26.27      21.83      18.39       0.08      22.47
    16          0.00       0.00       0.00       0.00       0.00       0.00      59.04      55.07      50.23      32.63      36.14      15.51      35.52
    17          0.00       0.00       0.00       0.00       0.00      16.42      23.10      17.54      14.36      26.89      60.65      81.94      34.41
    18          0.00       0.00       0.00       0.00       0.00      39.07       1.45      13.11       0.52       0.95       0.34       0.00       7.92
    19          0.00       0.00       0.00       0.00       0.00       0.00      41.57      49.94      63.56      78.33      73.55      71.33      54.04
    20          0.00       0.00       0.00       0.00       0.00       0.00      40.14      52.50      41.31      58.27      59.34      67.88      45.64
    21          0.00       0.00       0.00       0.00       0.00      47.52      50.39      26.44      21.97      38.95      68.98     124.04      54.04
    22          0.00       0.00       0.00       0.00       0.00       0.00      42.63      28.75      35.07      22.58      14.54      42.90      26.64
    23          0.00       0.00       0.00       0.00       0.00       0.00       0.00      35.49      32.19      50.72      69.05      90.92      39.77
    24          0.00       0.00       0.00       0.00       0.00      40.97      63.06      52.07      53.56     156.91      53.90      86.98      72.49
    25          0.00       0.00       0.00       0.00       0.00       0.00      46.38      52.00     110.64      87.30     106.92     152.87      79.44
    26          0.00       0.00       0.00       0.00       0.00       0.00       0.00      18.91      29.28      34.67       5.69       0.00      12.65
    27          0.00       0.00       0.00       0.00       0.00      43.18      51.61      58.06      40.16      49.67      69.13     110.23      60.29
    28          0.00       0.00       0.00       0.00       0.00       0.00      48.28      68.18      40.33      59.81      80.40     127.78      60.68
